Id,Income,Age,Experience,Marital_Status,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
85873,2926496,37,16,single,rented,no,Technical_writer,Sasaram[30],Bihar,12,14,0
209796,9213176,50,13,single,rented,no,Army_officer,Ghaziabad,Uttar_Pradesh,3,14,1
177243,6860791,47,2,single,rented,yes,Geologist,Tadepalligudem,Andhra_Pradesh,2,10,1
92856,9385960,75,10,single,rented,no,Engineer,Thoothukudi,Tamil_Nadu,3,12,0
43634,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,1
131999,7970733,26,7,single,rented,yes,Web_designer,Ichalkaranji,Maharashtra,7,13,0
58381,4671113,68,13,single,owned,yes,Technology_specialist,Imphal,Manipur,11,13,0
128318,3536244,33,3,single,rented,no,Architect,Shivpuri,Madhya_Pradesh,3,10,0
83251,782667,79,11,single,rented,yes,Statistician,Surat,Gujarat,11,13,0
25043,5216436,41,4,single,rented,no,Politician,Khandwa,Madhya_Pradesh,4,12,0
112648,1178145,67,0,single,rented,no,Designer,Bijapur,Karnataka,0,11,0
115115,7247559,59,5,single,rented,no,Surgeon,Aurangabad[39],Bihar,5,11,0
35257,7533165,27,19,single,rented,yes,Web_designer,Bhilai,Chhattisgarh,8,12,0
243757,2994236,58,3,single,rented,yes,Analyst,Bharatpur,Rajasthan,3,12,0
203689,3367858,41,5,single,rented,no,Technical_writer,Deoghar,Jharkhand,5,11,0
157248,7529689,76,9,single,rented,no,Army_officer,Rajahmundry[19][20],Andhra_Pradesh,4,10,0
152323,5090840,78,12,single,rented,no,Flight_attendant,Nagpur,Maharashtra,5,11,0
230484,2332976,63,12,single,rented,yes,Consultant,New_Delhi,Delhi,12,12,0
58993,5971641,31,3,single,rented,no,Physician,Munger,Bihar,3,11,0
241846,2862734,56,20,single,rented,no,Technical_writer,Sultan_Pur_Majra,Delhi,8,13,0
78390,1435004,50,2,single,rented,yes,Microbiologist,Kavali,Andhra_Pradesh,2,14,0
87900,156145,69,7,single,rented,yes,Web_designer,Haldia,West_Bengal,7,13,1
91475,9204815,52,2,single,rented,yes,Biomedical_Engineer,Meerut,Uttar_Pradesh,2,10,0
4691,9385403,56,18,single,rented,no,Computer_operator,Berhampur,Odisha,3,11,0
95723,9783770,68,4,single,rented,no,Artist,Satara,Maharashtra,4,10,0
217050,2887639,57,4,single,rented,no,Web_designer,Kavali,Andhra_Pradesh,4,13,0
206342,3805380,31,15,single,rented,no,Flight_attendant,Firozabad,Uttar_Pradesh,6,12,0
38587,6381365,67,11,single,rented,no,Surveyor,Ulhasnagar,Maharashtra,4,12,0
204522,3183557,49,10,single,rented,yes,Aviator,Dharmavaram,Andhra_Pradesh,10,10,0
185096,3061413,75,6,single,rented,yes,Dentist,New_Delhi,Delhi,6,11,0
104133,9856572,75,8,single,rented,no,Geologist,New_Delhi,Delhi,8,12,0
170572,3983496,76,1,single,rented,no,Statistician,Karawal_Nagar,Delhi,1,12,0
163078,2807530,21,6,single,rented,no,Dentist,Raurkela_Industrial_Township,Odisha,6,14,0
142011,6263490,64,19,single,owned,yes,Mechanical_engineer,Haldia,West_Bengal,10,10,0
19467,2307412,57,7,single,rented,no,Scientist,Aurangabad,Maharashtra,5,14,0
105595,4654280,49,18,single,rented,yes,Psychologist,Mumbai,Maharashtra,11,11,0
75929,4445947,53,17,single,rented,no,Technology_specialist,Coimbatore,Tamil_Nadu,4,14,1
152093,2701403,32,3,single,rented,no,Geologist,Udupi,Karnataka,3,11,0
114390,803487,50,14,single,rented,no,Surgeon,Madurai,Tamil_Nadu,6,14,0
11790,8398435,50,9,single,norent_noown,yes,Economist,Vijayawada,Andhra_Pradesh,8,10,0
159231,5975878,56,17,married,rented,no,Financial_Analyst,Katihar,Bihar,6,11,0
123684,8311313,56,8,single,rented,no,Software_Developer,Giridih,Jharkhand,8,12,0
249166,3777740,44,10,single,rented,yes,Analyst,Chinsurah,West_Bengal,10,11,1
139774,5675460,48,6,married,rented,no,Lawyer,Orai,Uttar_Pradesh,6,10,0
231419,2833830,53,11,single,rented,no,Magistrate,Anand,Gujarat,5,10,0
66545,4276227,31,11,single,rented,no,Secretary,Karawal_Nagar,Delhi,11,13,0
157006,8644938,26,11,married,rented,no,Architect,South_Dumdum,West_Bengal,9,10,0
195007,3711307,22,20,single,rented,yes,Economist,Ozhukarai,Puducherry,10,12,1
85915,9674252,41,7,single,rented,yes,Petroleum_Engineer,Patiala,Punjab,6,13,0
101503,6652412,30,18,single,owned,yes,Fashion_Designer,Bhopal,Madhya_Pradesh,7,13,0
192250,8039588,41,2,single,rented,no,Air_traffic_controller,Gandhinagar,Gujarat,2,11,0
187142,294302,67,7,single,rented,no,Air_traffic_controller,Jodhpur,Rajasthan,7,14,0
103192,2889220,34,18,single,rented,yes,Financial_Analyst,Navi_Mumbai,Maharashtra,13,14,0
226499,6937876,53,7,single,rented,no,Architect,Dewas,Madhya_Pradesh,7,13,0
105962,80603,58,12,single,rented,yes,Petroleum_Engineer,Ramagundam[27],Telangana,12,13,0
248051,886310,70,0,single,rented,yes,Microbiologist,Bhiwandi,Maharashtra,0,13,0
95433,6548997,46,11,single,rented,no,Technical_writer,Danapur,Bihar,4,14,0
232725,1624126,31,0,single,rented,no,Designer,Jammu[16],Jammu_and_Kashmir,0,14,0
147566,5832406,24,4,single,rented,yes,Designer,Sangli-Miraj_&_Kupwad,Maharashtra,4,12,0
